CAEMP25N Total full-time and part-time employment by NAICS industry 1/
CAEMP25N Total full-time and part-time employment by NAICS industry 1/
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2012
10780,"Alexandria, LA (Metropolitan Statistical Area)",200,"      Mining, quarrying, and oil and gas extraction",550
10780,"Alexandria, LA (Metropolitan Statistical Area)",300,"      Utilities",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",400,"      Construction",5073
10780,"Alexandria, LA (Metropolitan Statistical Area)",500,"      Manufacturing",4671
10780,"Alexandria, LA (Metropolitan Statistical Area)",600,"      Wholesale trade",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",700,"      Retail trade",9514
10780,"Alexandria, LA (Metropolitan Statistical Area)",800,"      Transportation and warehousing",1674
10780,"Alexandria, LA (Metropolitan Statistical Area)",900,"      Information",728
10780,"Alexandria, LA (Metropolitan Statistical Area)",1000,"      Finance and insurance",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",1100,"      Real estate and rental and leasing",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",1200,"      Professional, scientific, and technical services",3408
10780,"Alexandria, LA (Metropolitan Statistical Area)",1300,"      Management of companies and enterprises",637
10780,"Alexandria, LA (Metropolitan Statistical Area)",1400,"      Administrative and support and waste management and remediation services",3861
10780,"Alexandria, LA (Metropolitan Statistical Area)",1500,"      Educational services",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",1600,"      Health care and social assistance",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",1700,"      Arts, entertainment, and recreation",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",1800,"      Accommodation and food services",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",1900,"      Other services (except government and government enterprises)",4986
10780,"Alexandria, LA (Metropolitan Statistical Area)",2000,"    Government and government enterprises",14805
10780,"Alexandria, LA (Metropolitan Statistical Area)",2001,"      Federal civilian",2998
10780,"Alexandria, LA (Metropolitan Statistical Area)",2002,"      Military",708
10780,"Alexandria, LA (Metropolitan Statistical Area)",2010,"      State and local",11099
10780,"Alexandria, LA (Metropolitan Statistical Area)",2011,"        State government",(D)
10780,"Alexandria, LA (Metropolitan Statistical Area)",2012,"        Local government",(D)
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",,Employment by place of work,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",10,Total employment (number of jobs),438772
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",,By type,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",20,"  Wage and salary employment",353582
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",40,"  Proprietors employment",85190
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",50,"    Farm proprietors employment",1742
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",60,"    Nonfarm proprietors employment 2/",83448
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",,By industry,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",70,"  Farm employment",2576
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",80,"  Nonfarm employment",436196
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",90,"    Private nonfarm employment",393286
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",100,"      Forestry, fishing, and related activities",(D)
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",200,"      Mining, quarrying, and oil and gas extraction",(D)
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",300,"      Utilities",(D)
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",400,"      Construction",20734
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",500,"      Manufacturing",37919
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",600,"      Wholesale trade",15140
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",700,"      Retail trade",49435
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",800,"      Transportation and warehousing",20832
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",900,"      Information",6892
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1000,"      Finance and insurance",20715
